epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3631,1.92115,4.01775,1.27439,0.00086,0.00662,0.00169,0.00075,2.09998,4.35627,1.08105,0.000175,0.000175,0.000175
2,36.4689,1.79722,3.55454,1.13927,0.00887,0.10596,0.01773,0.00791,2.32706,4.26105,1.26489,0.000348145,0.000348145,0.000348145
3,55.3307,1.79588,2.93923,1.10952,0.00851,0.27626,0.0173,0.00544,2.26909,3.93983,1.23117,0.00050644,0.00050644,0.00050644
4,74.1871,1.80797,2.46493,1.1083,0.88973,0.02099,0.04472,0.02032,2.10973,3.58255,1.16876,0.000649885,0.000649885,0.000649885
5,93.2924,1.79553,1.97844,1.08441,0.92013,0.01766,0.13699,0.06766,2.02119,3.18771,1.08002,0.00077848,0.00077848,0.00077848
6,112.521,1.75672,1.84398,1.07845,0.86835,0.04378,0.17688,0.08183,2.16065,2.8634,1.15836,0.000892225,0.000892225,0.000892225
7,133.339,1.70642,1.80475,1.06657,0.69167,0.20043,0.18018,0.08148,2.32271,2.33688,1.2863,0.000953,0.000953,0.000953
8,152.798,1.72826,1.6776,1.08392,0.71993,0.21368,0.21003,0.10459,2.24519,2.15488,1.27589,0.0009035,0.0009035,0.0009035
9,171.938,1.7258,1.7219,1.06867,0.70369,0.25238,0.21351,0.10788,2.07538,2.08994,1.15558,0.000854,0.000854,0.000854
10,190.957,1.68272,1.70991,1.06903,0.69814,0.30564,0.23605,0.12336,2.13693,2.06674,1.12149,0.0008045,0.0008045,0.0008045
11,210.132,1.63611,1.57431,1.03332,0.73399,0.2675,0.24392,0.12234,2.11537,2.21969,1.11096,0.000755,0.000755,0.000755
12,229.517,1.59795,1.52167,1.02604,0.77325,0.26613,0.26433,0.13357,2.27067,2.11566,1.28462,0.0007055,0.0007055,0.0007055
13,248.772,1.56956,1.46595,1.03409,0.53498,0.28867,0.29797,0.1459,2.10967,1.88435,1.15809,0.000656,0.000656,0.000656
14,267.961,1.52882,1.36239,0.99645,0.84123,0.22907,0.29524,0.14406,2.03239,1.77067,1.12133,0.0006065,0.0006065,0.0006065
15,287.311,1.55442,1.40385,1.04179,0.74725,0.32644,0.30715,0.15301,2.06904,1.80326,1.14102,0.000557,0.000557,0.000557
16,306.902,1.44961,1.38602,1.0274,0.75784,0.3312,0.31328,0.15625,2.18833,1.73226,1.1945,0.0005075,0.0005075,0.0005075
17,326.249,1.44391,1.35929,1.02745,0.79112,0.30303,0.29398,0.15425,2.09862,1.76046,1.09809,0.000458,0.000458,0.000458
18,345.78,1.42194,1.29431,0.99064,0.80386,0.26922,0.30088,0.15485,2.07068,1.76096,1.09732,0.0004085,0.0004085,0.0004085
19,365.171,1.38876,1.23812,0.9876,0.82651,0.24926,0.29905,0.16004,2.01443,1.72427,1.13206,0.000359,0.000359,0.000359
20,384.765,1.36118,1.26447,0.97972,0.79884,0.27312,0.2971,0.15379,1.98504,1.67149,1.12577,0.0003095,0.0003095,0.0003095
21,404.78,1.36708,1.29049,0.98389,0.51827,0.31982,0.3043,0.15499,1.87134,1.69162,1.02584,0.00026,0.00026,0.00026
22,424.54,1.25762,1.18107,0.95671,0.81067,0.29367,0.31288,0.15722,1.81157,1.66512,1.00875,0.0002105,0.0002105,0.0002105
23,444.314,1.28179,1.15127,0.94824,0.8039,0.30466,0.30376,0.15763,1.93595,1.65977,1.07819,0.000161,0.000161,0.000161
24,464.171,1.30486,1.16961,0.96681,0.80239,0.29273,0.30636,0.16005,1.99639,1.68371,1.10009,0.0001115,0.0001115,0.0001115
25,483.969,1.23569,1.14103,0.94221,0.81467,0.30164,0.31196,0.16402,1.99939,1.68887,1.09674,6.2e-05,6.2e-05,6.2e-05
